query,rank,score,file_name,doc_type,page_number,chunk_id,text_preview
What are the main functions or categories in the cybersecurity framework?,1,0.7039912681345702,NIST.CSWP.29.pdf,pdf,9.0,doc_00011_chunk_001,"Fig. 2. CSF Functions The Functions should be addressed concurrently. Actions that support GOVERN, IDENTIFY, PROTECT, and DETECT should all happen continuously, and actions that su"
What are the main functions or categories in the cybersecurity framework?,2,0.7036047727595669,NIST.CSWP.29.pdf,pdf,8.0,doc_00010_chunk_001,"management, authentication, and access control; awareness and training; data security; platform security (i.e., securing the hardware, software, and services of physical and virtua"
What are the main functions or categories in the cybersecurity framework?,3,0.6845512720296734,NIST.CSWP.29.pdf,pdf,7.0,doc_00009_chunk_001,"Fig. 1. CSF Core structure The CSF Core Functions — G OVERN, IDENTIFY, PROTECT, DETECT, RESPOND, and RECOVER — organize cybersecurity outcomes at their highest level. • GOVERN (GV)"
What steps are described for incident response or handling?,1,0.774512559497343,nist.sp.800-61r2.pdf,pdf,5.0,doc_00039_chunk_001,Keywords computer security incident; incident handling; incident response; information security
What steps are described for incident response or handling?,2,0.7717003045775046,nist.sp.800-61r2.pdf,pdf,28.0,doc_00062_chunk_002,"reporting incidents, among other items.  Develop an incident response plan based on the incident response policy. The incident response plan provides a roadmap for implementing an"
What steps are described for incident response or handling?,3,0.7472581164823453,nist.sp.800-61r2.pdf,pdf,51.0,doc_00085_chunk_003,contain (5) and eradicate (6) the incident for them 7. Recover from the incident 7.1 Return affected systems to an operationally ready state 7.2 Confirm that the affected systems a
What kind of system security planning information appears in the CUI SSP template?,1,0.7020029695407056,cui-ssp-template-final.docx,docx,,doc_00001_chunk_000,<<Insert name>> SYSTEM SECURITY PLAN Last Updated: <<Insert date>>  SYSTEM IDENTIFICATION  System Name/Title: [State the name of the system. Spell out acronyms.]  System Categoriza
What kind of system security planning information appears in the CUI SSP template?,2,0.6431805481914821,cui-ssp-template-final.docx,docx,,doc_00001_chunk_014,"Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Control CUI posted or processed on publicly accessible systems.  "
What kind of system security planning information appears in the CUI SSP template?,3,0.6353335818639235,cui-ssp-template-final.docx,docx,,doc_00001_chunk_034,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Protect the confidentiali"
What information is present in the audit trail text?,1,0.7114399754990062,audit.txt,txt,,doc_00000_chunk_028,"Review of Audit Trails Audit trails can be used to review what occurred after an event, for periodic reviews, and for real-time analysis. Reviewers should know what to look for to "
What information is present in the audit trail text?,2,0.7069765454292394,audit.txt,txt,,doc_00000_chunk_001,"An audit trail is a series of records of computer events, about an operating system, an application, or user activities. A computer system may have several audit trails, each devot"
What information is present in the audit trail text?,3,0.68529003819532,audit.txt,txt,,doc_00000_chunk_000,AUDIT TRAILS  Audit trails maintain a record of system activity both by system and application processes and by user activity of systems and applications. In conjunction with appro
